timestamps,TP9,AF7,AF8,TP10,Right AUX
1737553009.928,7.812,-39.551,-8.789,-217.285,0.000
1737553009.932,15.137,-1.465,-4.395,999.512,0.000
1737553009.936,2.930,14.648,-27.832,729.980,0.000
1737553009.940,-44.922,-14.160,-36.621,-701.660,0.000
1737553009.944,-48.828,-28.809,-13.184,-1000.000,0.000
1737553009.947,-22.461,-27.344,-13.184,-916.992,0.000
1737553009.951,0.977,-26.367,-20.508,334.961,0.000
1737553009.955,11.719,-28.320,-33.203,928.711,0.000
1737553009.959,-13.672,-23.438,-41.504,-625.000,0.000
1737553009.963,-41.016,-20.020,-33.203,-1000.000,0.000
1737553009.967,-46.875,-10.254,-6.836,-977.051,0.000
1737553009.971,-29.297,-8.789,7.324,-204.102,0.000
1737553009.975,2.930,-30.273,-0.488,869.629,0.000
1737553009.979,-15.625,-29.785,-2.441,-320.312,0.000
1737553009.983,-31.738,-15.625,-1.953,-1000.000,0.000
1737553009.986,-16.113,-4.395,-15.137,-196.777,0.000
1737553009.990,15.137,9.277,-32.715,927.734,0.000
1737553009.994,36.133,0.000,-29.785,981.934,0.000
1737553009.998,22.461,-31.250,-33.691,936.035,0.000
1737553010.002,2.441,-33.691,-31.250,980.469,0.000
1737553010.006,-18.555,-24.902,-8.789,970.215,0.000
1737553010.010,-17.090,-15.137,3.418,970.703,0.000
1737553010.014,-3.906,-5.859,2.930,970.703,0.000
1737553010.018,-17.090,-15.137,1.953,970.703,0.000
1737553010.022,-33.691,-10.254,4.883,970.703,0.000
1737553010.026,-32.227,-3.418,-3.418,970.703,0.000
1737553010.029,-30.762,-6.836,-28.809,970.703,0.000
1737553010.033,-33.203,-5.371,-26.855,970.703,0.000
1737553010.037,-20.508,-5.371,-33.203,970.703,0.000
1737553010.041,-1.953,-2.441,-18.066,970.703,0.000
1737553010.045,-12.695,-8.789,-5.859,970.215,0.000
1737553010.049,-54.199,-12.695,-15.625,970.703,0.000
1737553010.053,-67.871,-19.043,-7.812,970.703,0.000
1737553010.057,-66.406,-30.273,-25.879,970.703,0.000
1737553010.061,-71.289,-33.203,-31.738,970.703,0.000
1737553010.065,-82.031,-28.809,-12.695,970.703,0.000
1737553010.068,-82.031,-13.672,-14.648,970.703,0.000
1737553010.072,-74.707,-32.715,-38.574,970.703,0.000
1737553010.076,-95.215,-34.180,-40.527,970.703,0.000
1737553010.080,-103.516,-6.836,-14.160,970.703,0.000
1737553010.084,-100.586,-10.742,-8.789,970.703,0.000
1737553010.088,-119.141,-7.324,-17.090,970.703,0.000
1737553010.092,-107.422,2.930,-29.297,970.703,0.000
1737553010.096,-88.379,-7.324,-22.461,970.703,0.000
1737553010.100,-74.707,-15.137,-20.020,970.703,0.000
1737553010.104,-43.945,-34.668,-36.133,970.703,0.000
1737553010.108,-43.945,-41.992,-24.414,970.703,0.000
1737553010.111,-50.293,-14.160,-7.812,970.703,0.000
1737553010.115,-39.062,2.441,-8.789,970.703,0.000
1737553010.119,-44.434,2.930,-7.812,970.703,0.000
1737553010.123,-41.504,-12.695,-28.320,970.703,0.000
1737553010.127,-45.898,-34.668,-21.973,970.703,0.000
1737553010.131,-59.082,-32.227,-20.508,970.703,0.000
1737553010.135,-60.059,-20.508,-31.738,970.703,0.000
1737553010.139,-52.734,-29.785,-25.879,970.703,0.000
1737553010.143,-36.133,-32.227,-13.672,970.703,0.000
1737553010.147,-39.551,-31.250,0.977,970.703,0.000
1737553010.151,-40.527,-14.648,-17.090,970.703,0.000
1737553010.154,-40.527,10.254,-13.672,970.703,0.000
1737553010.158,-55.176,-1.953,-4.883,970.703,0.000
1737553010.162,-56.152,-15.137,-17.578,970.703,0.000
1737553010.166,-39.551,-12.207,-22.949,970.703,0.000
1737553010.170,-32.715,-38.086,-30.273,970.703,0.000
1737553010.174,-34.668,-39.551,-37.109,970.703,0.000
1737553010.178,-22.949,-4.883,-12.695,970.703,0.000
1737553010.182,-17.090,-12.207,-4.883,970.703,0.000
1737553010.186,-41.992,-13.184,-11.719,970.703,0.000
1737553010.190,-55.176,-11.719,-9.766,970.703,0.000
1737553010.193,-40.527,-21.973,-13.184,970.703,0.000
1737553010.197,-25.391,-20.508,-21.484,970.703,0.000
