,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-0.488,0.000,0.000,-0.488,0.000,1737549843.474
1,-0.488,0.000,-0.488,-1.465,0.000,1737549843.478
2,2.930,0.000,-0.977,25.391,0.000,1737549843.482
3,-7.812,-0.488,1.465,-57.129,0.000,1737549843.486
4,25.391,-0.488,-13.184,222.168,0.000,1737549843.490
5,72.266,-2.441,-31.250,726.074,0.000,1737549843.494
6,-38.086,-27.344,-36.621,-71.289,0.000,1737549843.498
7,-103.516,-46.387,-44.922,-1000.000,0.000,1737549843.501
8,-34.180,-20.996,-33.203,-780.273,0.000,1737549843.505
9,15.625,2.930,-11.230,166.504,0.000,1737549843.509
10,54.199,10.254,0.488,788.086,0.000,1737549843.513
11,13.672,4.883,-3.906,119.141,0.000,1737549843.517
12,-81.543,-17.578,-16.602,-960.449,0.000,1737549843.520
13,-82.031,-34.180,-26.855,-747.559,0.000,1737549843.524
14,2.441,-27.832,-35.156,317.871,0.000,1737549843.528
15,48.340,-18.555,-26.367,999.512,0.000,1737549843.531
16,-5.371,-20.020,-10.742,507.812,0.000,1737549843.535
17,-83.984,-17.578,-3.906,-741.211,0.000,1737549843.539
18,-67.871,-26.367,-16.113,-816.406,0.000,1737549843.543
19,-21.973,-29.297,-34.180,207.520,0.000,1737549843.547
20,12.695,-14.648,-31.738,802.734,0.000,1737549843.550
21,15.137,-5.371,-25.391,232.422,0.000,1737549843.554
22,-78.125,-17.090,-16.602,-815.430,0.000,1737549843.558
23,-103.027,-34.180,-6.348,-876.953,0.000,1737549843.562
24,-5.859,-28.809,-18.555,72.266,0.000,1737549843.563
25,37.109,-15.625,-20.020,783.691,0.000,1737549843.566
26,26.367,-15.625,-7.324,543.945,0.000,1737549843.570
27,-59.082,-33.691,0.977,-471.680,0.000,1737549843.574
28,-124.023,-36.133,-7.812,-1000.000,0.000,1737549843.577
29,-50.781,-3.418,-31.250,-329.102,0.000,1737549843.581
30,23.438,2.930,-36.621,596.191,0.000,1737549843.585
31,13.672,-16.113,-11.230,485.352,0.000,1737549843.588
32,-68.848,-29.297,9.277,-574.707,0.000,1737549843.592
33,-78.613,-24.902,3.906,-1000.000,0.000,1737549843.596
